DATAFLOW,MEASURE,UNIT_MEASURE,REF_AREA,FREQ,CPI_DIV,SOURCE_DETAIL,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MULT
FCSA:DF_CPI_ANN(3.2.0),CPI_INDEX21,INDX,AE,A,FUR,FCSA,2021,100,2,,
FCSA:DF_CPI_ANN(3.2.0),CPI_INDEX21,INDX,AE,A,FUR,FCSA,2022,100.02,2,,
FCSA:DF_CPI_ANN(3.2.0),CPI_INDEX21,INDX,AE,A,FUR,FCSA,2023,103.2238736,2,,
FCSA:DF_CPI_ANN(3.2.0),CPI_ANNCHG,PERCENT,AE,A,TEX,FCSA,2010,-4.96,2,,
FCSA:DF_CPI_ANN(3.2.0),CPI_ANNCHG,PERCENT,AE,A,TEX,FCSA,2011,-1.87,2,,
FCSA:DF_CPI_ANN(3.2.0),CPI_ANNCHG,PERCENT,AE,A,TEX,FCSA,2012,2.42,2,,
FCSA:DF_CPI_ANN(3.2.0),CPI_ANNCHG,PERCENT,AE,A,TEX,FCSA,2013,0.25,2,,
FCSA:DF_CPI_ANN(3.2.0),CPI_ANNCHG,PERCENT,AE,A,TEX,FCSA,2014,0.2,2,,
FCSA:DF_CPI_ANN(3.2.0),CPI_ANNCHG,PERCENT,AE,A,TEX,FCSA,2015,-1.62,2,,
FCSA:DF_CPI_ANN(3.2.0),CPI_ANNCHG,PERCENT,AE,A,TEX,FCSA,2016,3.25,2,,
FCSA:DF_CPI_ANN(3.2.0),CPI_ANNCHG,PERCENT,AE,A,TEX,FCSA,2017,0.2,2,,
FCSA:DF_CPI_ANN(3.2.0),CPI_ANNCHG,PERCENT,AE,A,TEX,FCSA,2018,15.12,2,,
FCSA:DF_CPI_ANN(3.2.0),CPI_ANNCHG,PERCENT,AE,A,TEX,FCSA,2019,-2.54,2,,
FCSA:DF_CPI_ANN(3.2.0),CPI_ANNCHG,PERCENT,AE,A,TEX,FCSA,2020,4.71,2,,
FCSA:DF_CPI_ANN(3.2.0),CPI_ANNCHG,PERCENT,AE,A,TEX,FCSA,2021,-3.28,2,,
