DATAFLOW,MEASURE,UNIT_MEASURE,REF_AREA,FREQ,CPI_DIV,SOURCE_DETAIL,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MULT
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2009-01,7.25,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2009-02,3.87,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2009-03,4.7,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2009-04,1.9,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2009-05,5.25,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2009-06,5.23,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2009-07,7.96,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2009-08,6.65,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2009-09,6.39,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2009-10,5.46,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2009-11,10.3,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2009-12,8.89,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2010-01,5.5,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2010-02,8.47,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2010-03,7.24,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2010-04,7.27,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2010-05,4.37,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2010-06,3.42,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2010-07,2.3,2,,
FCSA:DF_CPI(3.2.0),CPI_ANNCHG,PERCENT,AE,M,FUR,FCSA,2010-08,4.72,2,,
