DATAFLOW,MEASURE,UNIT_MEASURE,REF_AREA,FREQ,CPI_DIV,SOURCE_DETAIL,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MULT
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,HOU,FCSA,2022-Q1,-1.851787981,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,HOU,FCSA,2022-Q2,-1.001257911,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,HOU,FCSA,2022-Q3,0.119037821,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,HOU,FCSA,2022-Q4,1.605925386,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,HOU,FCSA,2023-Q1,2.451617107,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,HOU,FCSA,2023-Q2,3.11084081,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,HOU,FCSA,2023-Q3,3.656233018,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,HOU,FCSA,2023-Q4,3.294584008,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,RES,FCSA,2022-Q1,6.999646259,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,RES,FCSA,2022-Q2,5.713678144,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,RES,FCSA,2022-Q3,5.675431286,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,RES,FCSA,2022-Q4,10.31563531,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,RES,FCSA,2023-Q1,8.183747421,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,RES,FCSA,2023-Q2,8.200033452,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,RES,FCSA,2023-Q3,6.710140649,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,RES,FCSA,2023-Q4,3.589893234,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,FNB,FCSA,2022-Q1,4.950194334,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,FNB,FCSA,2022-Q2,8.155579328,2,,
FCSA:DF_CPI_Q(3.2.0),CPI_QCHNG,PERCENT,AE,Q,FNB,FCSA,2022-Q3,8.4940308,2,,
