DATAFLOW,MEASURE,POP_IND,UNIT_MEASURE,REF_AREA,FREQ,GENDER,SOURCE_DETAIL,TIME_PERIOD,OBS_VALUE,DECIMALS
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1970,149195,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1971,181473,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1972,221774,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1973,268398,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1974,322544,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1975,384010,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1976,446296,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1977,516067,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1978,588060,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1979,653371,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1980,714808,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1981,764154,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1982,800719,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1983,825283,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1984,851558,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1985,891801,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1986,997153,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1987,1049680,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1988,1101525,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1989,1162018,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1990,1219257,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1991,1257149,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1992,1327009,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1993,1414614,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1994,1554980,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1995,1674698,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1996,1733351,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1997,1823941,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1998,1912678,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,1999,2013894,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2000,2249793,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2001,2372568,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2002,2514249,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2003,2739191,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2004,2979251,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2005,3206550,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2006,3398181,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2007,3842795,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2008,4429652,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2009,4574201,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2010,4655257,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2011,4793049,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2012,4937649,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2013,5129965,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2014,5396717,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2015,5690481,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2016,5931800,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2017,6037711,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2018,6064682,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2019,6139696,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2020,5984973,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2021,6325310,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2022,6595692,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,M,FCSC,2023,6842905,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1970,86318,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1971,97178,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1972,110529,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1973,127016,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1974,146708,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1975,170103,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1976,192279,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1977,219793,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1978,248328,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1979,279486,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1980,316660,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1981,346152,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1982,374969,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1983,401646,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1984,428782,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1985,480852,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1986,554165,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1987,612869,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1988,640864,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1989,682270,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1990,722571,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1991,739638,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1992,766508,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1993,815520,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1994,841084,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1995,850654,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1996,877639,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1997,904789,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1998,933077,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,1999,976830,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2000,919429,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2001,973271,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2002,1031752,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2003,1126470,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2004,1250607,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2005,1378878,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2006,1511601,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2007,1752357,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2008,2068246,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2009,2199987,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2010,2310231,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2011,2450539,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2012,2601658,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2013,2716790,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2014,2875407,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2015,3047869,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2016,3200039,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2017,3276900,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2018,3314109,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2019,3373082,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2020,3304324,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2021,3535697,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2022,3693254,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,F,FCSC,2023,3835651,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1970,235513,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1971,278651,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1972,332303,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1973,395414,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1974,469252,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1975,554113,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1976,638575,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1977,735860,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1978,836388,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1979,932857,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1980,1031468,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1981,1110305,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1982,1175688,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1983,1226929,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1984,1280339,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1985,1372653,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1986,1551318,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1987,1662549,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1988,1742389,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1989,1844288,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1990,1941828,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1991,1996787,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1992,2093517,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1993,2230134,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1994,2396065,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1995,2525352,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1996,2610990,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1997,2728730,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1998,2845755,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,1999,2990724,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2000,3169222,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2001,3345839,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2002,3546001,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2003,3865661,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2004,4229858,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2005,4585428,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2006,4909782,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2007,5595152,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2008,6497898,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2009,6774188,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2010,6965488,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2011,7243588,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2012,7539307,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2013,7846755,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2014,8272124,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2015,8738350,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2016,9131839,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2017,9314611,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2018,9378791,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2019,9512778,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2020,9289297,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2021,9861007,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2022,10288946,
FCSA:DF_POP(2.7.0),POP,_Z,PS,AE,A,_T,FCSC,2023,10678556,
