DATAFLOW,MEASURE,POP_IND,UNIT_MEASURE,REF_AREA,FREQ,GENDER,SOURCE_DETAIL,TIME_PERIOD,OBS_VALUE,DECIMALS
FCSA:DF_POP_IND(2.7.0),POPIND,MED,YEARS,AE,A,_Z,FCSC,2019,31.3,1
FCSA:DF_POP_IND(2.7.0),POPIND,MED,YEARS,AE,A,_Z,FCSC,2020,32.8,1
FCSA:DF_POP_IND(2.7.0),POPIND,CDR,RATIO,AE,A,_Z,FCSC,2019,20.37,1
FCSA:DF_POP_IND(2.7.0),POPIND,CDR,RATIO,AE,A,_Z,FCSC,2020,17.9,1
FCSA:DF_POP_IND(2.7.0),POPIND,LEB,YEARS,AE,A,_Z,FCSC,2019,79.9,1
FCSA:DF_POP_IND(2.7.0),POPIND,LEB,YEARS,AE,A,_Z,FCSC,2020,79.7,1
FCSA:DF_POP_IND(2.7.0),POPIND,LEBM,YEARS,AE,A,_Z,FCSC,2020,78,1
FCSA:DF_POP_IND(2.7.0),POPIND,MEDM,YEARS,AE,A,_Z,FCSC,2020,33.5,1
FCSA:DF_POP_IND(2.7.0),POPIND,LEBF,YEARS,AE,A,_Z,FCSC,2020,81.4,1
FCSA:DF_POP_IND(2.7.0),POPIND,MEDF,YEARS,AE,A,_Z,FCSC,2020,31.2,1
FCSA:DF_POP_IND(2.7.0),POPIND,POPDEN,PS,AE,A,_Z,FCSC,2019,133.8,1
FCSA:DF_POP_IND(2.7.0),POPIND,POPDEN,PS,AE,A,_Z,FCSC,2020,130.7,1
FCSA:DF_POP_IND(2.7.0),POPIND,EDR,RATIO,AE,A,_Z,FCSC,2019,2.057,1
FCSA:DF_POP_IND(2.7.0),POPIND,EDR,RATIO,AE,A,_Z,FCSC,2020,2.1,1
FCSA:DF_POP_IND(2.7.0),POPIND,ADR,RATIO,AE,A,_Z,FCSC,2019,22.43,1
FCSA:DF_POP_IND(2.7.0),POPIND,ADR,RATIO,AE,A,_Z,FCSC,2020,20,1
FCSA:DF_POP_IND(2.7.0),POPIND,GR,RATIO,AE,A,_Z,FCSC,2019,196.89,1
FCSA:DF_POP_IND(2.7.0),POPIND,GR,RATIO,AE,A,_Z,FCSC,2020,229.9,1
