DATAFLOW,MEASURE,UNIT_MEASURE,REF_AREA,FREQ,H_TYPE,H_INDICATOR,GUEST_REGION,SOURCE_DETAIL,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,OBS_COMMENT,UNIT_MULT
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,OC,FCSC,2015,399751,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,OC,FCSC,2016,380717,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,OC,FCSC,2017,397131,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,OC,FCSC,2018,358474,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,OC,FCSC,2019,351920,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,OC,FCSC,2020,110059,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,OC,FCSC,2021,118892,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,OC,FCSC,2022,266768,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1983,159195,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1984,168365,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1985,116469,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1986,133153,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1987,144475,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1988,156984,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1989,181696,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1990,195776,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1991,280447,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1992,324901,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1993,351701,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1994,359470,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1995,419762,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1996,444616,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1997,421962,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1998,516994,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,1999,583342,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,2000,690671,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,2001,800660,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,2002,990291,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,2003,986610,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,2004,1002067,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,2005,1137327,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,2010,974501,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,2011,1396416,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,2012,1649902,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,2013,2955418,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHA,GCC,FCSC,2014,3136322,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AF,FCSC,2013,2769030,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AF,FCSC,2015,2732683,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AF,FCSC,2016,2659446,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AF,FCSC,2017,2721363,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AF,FCSC,2018,3090753,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AF,FCSC,2019,3685722,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AF,FCSC,2020,2547068,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AF,FCSC,2021,3593780,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AF,FCSC,2022,4064589,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,ASC,FCSC,2015,4332200,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,ASC,FCSC,2016,5095041,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,ASC,FCSC,2017,5974419,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,ASC,FCSC,2018,6549875,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,ASC,FCSC,2019,7080234,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,ASC,FCSC,2020,3851970,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,ASC,FCSC,2021,4583657,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GHH,ASC,FCSC,2022,6421263,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1979,264730,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1980,386847,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1981,498829,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1982,657285,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1983,319132,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1984,298602,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1985,330709,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1986,328593,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1987,390419,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1988,441494,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1989,481012,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1990,471850,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1991,369281,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1992,438297,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1993,437834,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1994,479264,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1995,505194,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1996,562361,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1997,663031,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1998,833357,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,1999,950213,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2000,1113817,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2001,1068626,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2002,1305801,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2003,1471021,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2004,1484265,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2005,1615173,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2010,1797278,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2011,2354398,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2012,2615782,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2013,5132929,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2014,7341049,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2015,7753396,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2016,8422870,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2017,8541382,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2018,8265172,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2019,9106568,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2020,7662564,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2021,10444620,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,AC,FCSC,2022,11129517,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1979,1019206,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1980,1410486,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1981,1828297,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1982,2108739,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1983,2160934,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1984,2049862,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1985,2147323,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1986,2102699,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1987,2311218,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1988,2644971,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1989,3037606,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1990,3411545,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1991,3426040,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1992,4046221,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1993,4823124,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1994,5674338,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1995,6363775,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1996,7003713,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1997,7009321,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1998,7984413,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,1999,8554043,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,2000,10313499,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,2001,10126372,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,2002,12359593,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,2003,14191984,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,2004,16406257,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,2005,18344976,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,2010,24007139,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,2011,30892681,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,2012,34990487,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,2013,57285459,,,,
FCSA:DF_GUEST_REGION(4.3.0),H,NUMBER,AE,A,_Z,GUN,_T,FCSC,2014,63704817,,,,
