DATAFLOW,MEASURE,UNIT_MEASURE,REF_AREA,FREQ,H_TYPE,H_INDICATOR,GUEST_REGION,SOURCE_DETAIL,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,OBS_COMMENT,UNIT_MULT
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,_T,EST,_Z,FCSC,2014,1027,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,_T,EST,_Z,FCSC,2015,1056,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,_T,EST,_Z,FCSC,2016,1060,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,_T,EST,_Z,FCSC,2017,1058,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,_T,EST,_Z,FCSC,2018,1106,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,_T,EST,_Z,FCSC,2019,1136,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,_T,EST,_Z,FCSC,2020,1089,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,_T,EST,_Z,FCSC,2021,1144,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,_T,EST,_Z,FCSC,2022,1205,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,STA,ROOM,_Z,FCSC,2015,19348,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,STA,ROOM,_Z,FCSC,2016,19180,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,STA,ROOM,_Z,FCSC,2017,19221,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,STA,ROOM,_Z,FCSC,2019,17470,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,STA,ROOM,_Z,FCSC,2020,16624,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,STA,ROOM,_Z,FCSC,2021,14797,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,STA,ROOM,_Z,FCSC,2022,15164,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,123STAR,EST,_Z,FCSC,2010,323,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,123STAR,EST,_Z,FCSC,2011,331,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,123STAR,EST,_Z,FCSC,2012,311,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,123STAR,EST,_Z,FCSC,2013,324,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,123STAR,EST,_Z,FCSC,2015,355,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,123STAR,EST,_Z,FCSC,2016,358,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,123STAR,EST,_Z,FCSC,2017,355,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,123STAR,EST,_Z,FCSC,2018,355,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,123STAR,EST,_Z,FCSC,2019,354,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,123STAR,EST,_Z,FCSC,2020,315,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,123STAR,EST,_Z,FCSC,2021,339,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,123STAR,EST,_Z,FCSC,2022,367,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1976,1418,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1977,1149,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1978,2048,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1979,2613,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1980,3150,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1981,3068,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1982,3773,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1983,3990,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1984,3766,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1985,3804,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1986,3605,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1987,3496,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1988,3365,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1989,3309,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1990,3719,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1991,3847,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1992,4411,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1993,5372,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1994,5565,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1995,6222,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1996,6815,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1997,7722,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1998,8464,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,1999,9449,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,2000,8151,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,2001,8855,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,2002,8570,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,2003,9386,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,2004,8912,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,1CLASS,ROOM,_Z,FCSC,2005,10471,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,DELSUP,EST,_Z,FCSC,2015,153,,,,
FCSA:DF_HOT_TYPE(4.3.0),H,NUMBER,AE,A,DELSUP,EST,_Z,FCSC,2016,129,,,,
